Order Item Id,Order Id,Actual_Delayed,Predicted_Delayed,Risk_Probability,Risk_Category
180517,77202,0,0,0.4273,Low Risk
179254,75939,1,0,0.4259,Low Risk
179253,75938,0,0,0.4036,Low Risk
179252,75937,0,0,0.4202,Low Risk
179251,75936,0,0,0.4081,Low Risk
179249,75934,1,1,0.9948,High Risk
179248,75933,1,1,0.9983,High Risk
179247,75932,1,1,0.7934,High Risk
179246,75931,1,1,0.9948,High Risk
179244,75929,1,1,0.8349,High Risk
179243,75928,1,1,0.8413,High Risk
179242,75927,1,1,0.9971,High Risk
179241,75926,1,1,0.9983,High Risk
179240,75925,1,1,0.9971,High Risk
179239,75924,1,1,0.8049,High Risk
179238,75923,1,1,0.9948,High Risk
179237,75922,1,1,1.0,High Risk
179236,75921,0,0,0.0,Low Risk
179235,75920,0,0,0.01,Low Risk
179234,75919,1,0,0.3805,Low Risk
179233,75918,1,1,0.8444,High Risk
179230,75915,1,1,0.8514,High Risk
179229,75914,1,1,0.859,High Risk
179228,75913,0,0,0.3476,Low Risk
179227,75912,0,0,0.3554,Low Risk
179226,75911,0,0,0.4058,Low Risk
179225,75910,1,0,0.41,Low Risk
179224,75909,1,0,0.4391,Low Risk
179223,75908,0,0,0.3752,Low Risk
179222,75907,1,1,0.9946,High Risk
179221,75906,1,1,0.9931,High Risk
179220,75905,1,1,0.9984,High Risk
179219,75904,1,1,0.9972,High Risk
179218,75903,1,1,0.9944,High Risk
179217,75902,0,0,0.0177,Low Risk
179215,75900,0,0,0.0,Low Risk
179214,75899,0,0,0.008,Low Risk
179213,75898,0,0,0.2515,Low Risk
179212,75897,0,0,0.306,Low Risk
179211,75896,0,0,0.4166,Low Risk
179210,75895,1,0,0.4044,Low Risk
179209,75894,1,1,0.8162,High Risk
179208,75893,0,0,0.3659,Low Risk
71956,28744,1,1,0.8058,High Risk
113598,45461,0,1,0.7879,High Risk
77757,31115,1,1,0.7788,High Risk
114401,45766,0,1,0.7572,High Risk
119405,47752,1,1,0.7959,High Risk
125135,50054,1,1,0.7462,Medium Risk
50842,20365,1,1,0.7972,High Risk
90273,36146,0,1,0.8186,High Risk
102921,41234,1,1,0.811,High Risk
80250,32090,1,1,0.8114,High Risk
86866,34773,1,1,0.8293,High Risk
110025,44046,0,1,0.7291,Medium Risk
116033,46414,1,1,0.8347,High Risk
116462,46599,1,1,0.8237,High Risk
121134,48434,1,1,0.7927,High Risk
32072,12827,1,1,0.6999,Medium Risk
159828,63936,0,1,0.7352,Medium Risk
162548,65030,1,1,0.7295,Medium Risk
45253,18108,1,1,0.7625,High Risk
156394,62571,0,1,0.7912,High Risk
42919,17162,1,1,0.7631,High Risk
164735,65922,1,1,0.7681,High Risk
159829,63936,0,1,0.7483,Medium Risk
162007,64813,1,1,0.7433,Medium Risk
169747,67892,1,1,0.7572,High Risk
31344,12525,1,1,0.8269,High Risk
14664,5895,1,1,0.7885,High Risk
140970,56359,1,1,0.7667,High Risk
146701,58613,1,1,0.7856,High Risk
19564,7824,1,1,0.7673,High Risk
19544,7814,1,1,0.7869,High Risk
19542,7814,1,1,0.7869,High Risk
152161,60807,1,1,0.7919,High Risk
133456,53413,1,1,0.8054,High Risk
19707,7888,1,1,0.7345,Medium Risk
16956,6783,1,1,0.7741,High Risk
142502,56973,1,1,0.7668,High Risk
19563,7824,1,1,0.7827,High Risk
137932,55155,1,1,0.7114,Medium Risk
14921,5991,0,1,0.7139,Medium Risk
5671,2263,1,1,0.7641,High Risk
5669,2263,1,1,0.7641,High Risk
133427,53403,1,1,0.7513,High Risk
128201,51298,1,1,0.7777,High Risk
12307,4919,1,0,0.3879,Low Risk
131580,52640,1,0,0.3833,Low Risk
15921,6358,0,0,0.3838,Low Risk
142841,57106,0,0,0.3689,Low Risk
15634,6245,1,0,0.3493,Low Risk
130341,52166,0,0,0.3537,Low Risk
140494,56172,0,0,0.3751,Low Risk
139611,55829,1,0,0.344,Low Risk
131161,52478,0,0,0.3639,Low Risk
143183,57242,0,0,0.3926,Low Risk
7805,3137,0,0,0.3727,Low Risk
150464,60127,0,0,0.3636,Low Risk
9521,3828,0,0,0.3926,Low Risk
151122,60386,0,0,0.3857,Low Risk
2420,973,0,0,0.3577,Low Risk
145119,57999,1,0,0.3454,Low Risk
136527,54585,1,0,0.3799,Low Risk
144075,57598,0,0,0.3121,Low Risk
135699,54274,1,0,0.3646,Low Risk
151869,60673,0,0,0.3623,Low Risk
148673,59387,0,0,0.3557,Low Risk
131577,52640,1,0,0.3663,Low Risk
24992,10007,0,0,0.3364,Low Risk
139976,55984,1,0,0.3821,Low Risk
131164,52478,0,0,0.3771,Low Risk
146090,58375,1,0,0.3852,Low Risk
141192,56448,0,0,0.3469,Low Risk
20537,8221,0,0,0.3483,Low Risk
145203,58034,1,0,0.3509,Low Risk
5525,2203,0,0,0.3654,Low Risk
132642,53069,1,0,0.3691,Low Risk
150522,60146,0,0,0.3664,Low Risk
138585,55409,1,0,0.3898,Low Risk
21674,8678,0,0,0.3799,Low Risk
19945,7980,1,0,0.3929,Low Risk
143043,57185,1,0,0.3778,Low Risk
21551,8636,0,0,0.3492,Low Risk
153077,61192,0,0,0.318,Low Risk
139714,55876,0,0,0.3445,Low Risk
133251,53331,0,0,0.372,Low Risk
129241,51725,1,0,0.4549,Low Risk
131382,52562,0,0,0.365,Low Risk
149532,59754,1,0,0.3857,Low Risk
133893,53574,1,0,0.4197,Low Risk
989,399,1,0,0.3928,Low Risk
127587,51050,1,1,0.7669,High Risk
